id;year;codecounty;political_party;vote_count
0;2000;1001;democrat;4942
1;2000;1001;republic;11993
2;2000;1001;other;273
3;2000;1003;democrat;13997
4;2000;1003;republic;40872
5;2000;1003;other;1611
6;2000;1005;democrat;5188
7;2000;1005;republic;5096
8;2000;1005;other;111
9;2000;1007;democrat;2710
10;2000;1007;republic;4273
11;2000;1007;other;118
12;2000;1009;democrat;4977
13;2000;1009;republic;12667
14;2000;1009;other;329
15;2000;1011;democrat;3395
16;2000;1011;republic;1433
17;2000;1011;other;76
18;2000;1013;democrat;3606
19;2000;1013;republic;4127
20;2000;1013;other;70
21;2000;1015;democrat;15781
22;2000;1015;republic;22306
23;2000;1015;other;822
24;2000;1017;democrat;5616
25;2000;1017;republic;6037
26;2000;1017;other;181
27;2000;1019;democrat;3497
28;2000;1019;republic;4154
29;2000;1019;other;172
30;2000;1021;democrat;4806
31;2000;1021;republic;10066
32;2000;1021;other;220
33;2000;1023;democrat;3707
34;2000;1023;republic;3600
35;2000;1023;other;67
36;2000;1025;democrat;4679
37;2000;1025;republic;5988
38;2000;1025;other;85
39;2000;1027;democrat;2045
40;2000;1027;republic;3719
41;2000;1027;other;119
42;2000;1029;democrat;1664
43;2000;1029;republic;3333
44;2000;1029;other;95
45;2000;1031;democrat;5220
46;2000;1031;republic;9938
47;2000;1031;other;276
48;2000;1033;democrat;10543
49;2000;1033;republic;10518
50;2000;1033;other;471
51;2000;1035;democrat;2783
52;2000;1035;republic;2699
53;2000;1035;other;69
54;2000;1037;democrat;2104
55;2000;1037;republic;2382
56;2000;1037;other;81
57;2000;1039;democrat;4440
58;2000;1039;republic;8961
59;2000;1039;other;212
60;2000;1041;democrat;1934
61;2000;1041;republic;2793
62;2000;1041;other;68
63;2000;1043;democrat;9758
64;2000;1043;republic;19157
65;2000;1043;other;610
66;2000;1045;democrat;4906
67;2000;1045;republic;10593
68;2000;1045;other;307
69;2000;1047;democrat;10967
70;2000;1047;republic;7360
71;2000;1047;other;137
72;2000;1049;democrat;7056
73;2000;1049;republic;12827
74;2000;1049;other;402
75;2000;1051;democrat;6652
76;2000;1051;republic;16777
77;2000;1051;other;375
78;2000;1053;democrat;4523
79;2000;1053;republic;6975
80;2000;1053;other;162
81;2000;1055;democrat;17433
82;2000;1055;republic;21087
83;2000;1055;other;828
84;2000;1057;democrat;3064
85;2000;1057;republic;4582
86;2000;1057;other;162
87;2000;1059;democrat;4793
88;2000;1059;republic;6119
89;2000;1059;other;191
90;2000;1061;democrat;2769
91;2000;1061;republic;6588
92;2000;1061;other;202
93;2000;1063;democrat;3504
94;2000;1063;republic;850
95;2000;1063;other;42
96;2000;1065;democrat;4652
97;2000;1065;republic;2984
98;2000;1065;other;95
99;2000;1067;democrat;2782
100;2000;1067;republic;4054
101;2000;1067;other;96
102;2000;1069;democrat;9412
103;2000;1069;republic;22150
104;2000;1069;other;495
105;2000;1071;democrat;9066
106;2000;1071;republic;8475
107;2000;1071;other;365
108;2000;1073;democrat;129889
109;2000;1073;republic;138491
110;2000;1073;other;5383
111;2000;1075;democrat;2653
112;2000;1075;republic;4470
113;2000;1075;other;126
114;2000;1077;democrat;13875
115;2000;1077;republic;17478
116;2000;1077;other;784
117;2000;1079;democrat;6296
118;2000;1079;republic;5671
119;2000;1079;other;218
120;2000;1081;democrat;14574
121;2000;1081;republic;22433
122;2000;1081;other;1257
123;2000;1083;democrat;8992
124;2000;1083;republic;14204
125;2000;1083;other;438
126;2000;1085;democrat;4557
127;2000;1085;republic;1638
128;2000;1085;other;48
129;2000;1087;democrat;7665
130;2000;1087;republic;1091
131;2000;1087;other;75
132;2000;1089;democrat;48199
133;2000;1089;republic;62151
134;2000;1089;other;2968
135;2000;1091;democrat;4841
136;2000;1091;republic;4690
137;2000;1091;other;77
138;2000;1093;democrat;4600
139;2000;1093;republic;6910
140;2000;1093;other;246
141;2000;1095;democrat;10381
142;2000;1095;republic;17084
143;2000;1095;other;524
144;2000;1097;democrat;58640
